Tuple 0,Tuple 1,Tuple 2,Tuple 3
35.40376663208008,246,66,5
35.33622741699219,66,505,5
32.56862258911133,379,505,5
30.459808349609375,75,111,24
29.739826202392578,429,505,5
29.660505294799805,24,546,24
29.64067268371582,246,353,5
29.09651756286621,52,174,6
28.531063079833984,25,47,3
28.296977996826172,111,546,24
27.982948303222656,287,505,5
27.944740295410156,75,135,24
27.650150299072266,246,315,5
27.632022857666016,66,552,5
27.603357315063477,246,384,5
27.557859420776367,52,218,6
27.513811111450195,246,552,5
27.402019500732422,24,75,24
27.097291946411133,246,537,5
26.928714752197266,111,174,6
26.85189437866211,212,52,6
26.56070327758789,429,162,5
26.51249122619629,66,384,5
26.494253158569336,350,505,5
26.467145919799805,246,523,5
26.449338912963867,472,239,4
26.439579010009766,52,111,6
26.40214729309082,569,47,3
26.316423416137695,75,221,6
26.269920349121094,186,162,5
26.248550415039062,250,147,3
26.21129035949707,524,162,5
26.117692947387695,538,13,3
26.074838638305664,68,162,5
26.051668167114258,527,162,5
26.03531837463379,429,287,5
25.919437408447266,192,160,4
25.915403366088867,17,162,5
25.907835006713867,80,91,0
25.788101196289062,538,108,18
25.78479766845703,192,35,4
25.636499404907227,330,291,0
25.628782272338867,52,84,6
25.570480346679688,287,162,5
25.531343460083008,188,77,13
25.47626304626465,66,156,5
25.475772857666016,246,86,5
25.456178665161133,454,446,13
25.43958282470703,91,14,0
25.436809539794922,179,429,5
25.411224365234375,209,524,5
25.39945411682129,429,83,5
25.278635025024414,157,162,5
25.239635467529297,124,130,18
25.20193099975586,24,494,24
25.165281295776367,246,191,5
25.157217025756836,518,66,5
25.150388717651367,246,532,5
25.146631240844727,286,93,3
25.134355545043945,246,527,5
25.12025260925293,250,344,3
24.955718994140625,459,192,1
24.923486709594727,414,251,1
24.923154830932617,24,221,6
24.886062622070312,353,500,5
24.874664306640625,52,546,6
24.860715866088867,454,355,13
24.843385696411133,433,174,6
24.798078536987305,111,323,6
24.74989891052246,83,552,5
24.71593475341797,25,201,3
24.690996170043945,521,189,5
24.637826919555664,286,569,3
24.62955665588379,476,251,4
24.61695098876953,313,443,15
24.613201141357422,560,372,24
24.58661460876465,250,29,3
24.525136947631836,429,350,5
24.50984764099121,286,282,3
24.48581314086914,505,222,5
24.47287940979004,429,500,5
24.43822479248047,21,13,3
24.436880111694336,40,278,9
24.430763244628906,476,548,1
24.416507720947266,164,446,4
24.400737762451172,95,130,18
24.387195587158203,522,13,3
24.37154197692871,500,512,5
24.36913299560547,350,66,5
24.2819766998291,361,40,7
24.280715942382812,286,485,3
24.2718505859375,330,506,0
24.269298553466797,237,162,5
24.216785430908203,544,77,4
24.209922790527344,80,130,18
24.149028778076172,256,535,0
24.147735595703125,491,259,1
24.13401985168457,522,250,3
24.110841751098633,429,186,5
24.072681427001953,130,213,18
24.06519889831543,25,527,3
24.018535614013672,461,309,1
24.00084114074707,292,532,1
24.000362396240234,286,202,3
23.992786407470703,127,483,2
23.962539672851562,188,355,13
23.94841194152832,518,282,1
23.937429428100586,111,505,6
23.92598533630371,286,165,3
23.864824295043945,248,174,6
23.85409164428711,187,66,5
23.844484329223633,52,556,6
23.83130645751953,25,405,3
23.8262882232666,527,309,1
23.818788528442383,538,25,3
23.80352210998535,521,157,5
23.775554656982422,286,238,3
23.758508682250977,179,162,5
23.733110427856445,334,259,1
23.728891372680664,98,162,5
23.70846176147461,216,334,4
23.6960506439209,91,232,0
23.690227508544922,40,41,9
23.683917999267578,532,379,5
23.682310104370117,280,47,0
23.676715850830078,494,372,24
23.675140380859375,407,38,4
23.668474197387695,286,34,3
23.65509605407715,52,240,6
23.652111053466797,518,512,1
23.61726188659668,328,130,18
23.610082626342773,333,13,3
23.601184844970703,247,40,7
23.575130462646484,560,174,6
23.570402145385742,39,162,5
23.565380096435547,37,195,9
23.552146911621094,168,49,9
23.52901840209961,286,537,3
23.527799606323242,164,355,4
23.520097732543945,524,527,1
23.509130477905273,66,184,5
23.50244140625,349,222,1
23.50067138671875,286,527,3
23.478904724121094,521,17,5
23.463972091674805,37,206,9
23.463497161865234,384,61,1
23.454477310180664,236,446,13
23.40995979309082,429,50,5
23.401748657226562,25,260,3
23.40102767944336,379,22,5
23.39769172668457,313,458,3
23.392988204956055,510,449,14
23.382469177246094,250,34,3
23.37667465209961,52,112,6
23.363466262817383,403,446,13
23.340328216552734,250,196,3
23.339111328125,25,151,3
23.33464241027832,379,57,5
23.3283748626709,296,460,10
23.324323654174805,324,378,0
23.321651458740234,324,49,0
23.31681251525879,424,108,13
23.3128719329834,414,127,1
23.29587745666504,429,567,5
23.285524368286133,259,11,1
23.28048324584961,350,500,5
23.260591506958008,521,282,5
23.255786895751953,521,68,5
23.2495059967041,286,301,3
23.2275390625,353,309,1
23.2260684967041,191,527,1
23.223621368408203,330,514,0
23.22068977355957,521,191,5
23.218345642089844,209,83,5
23.213293075561523,165,13,3
23.20661735534668,435,500,5
23.197032928466797,250,36,3
23.17976951599121,436,13,3
23.179738998413086,519,19,4
23.170629501342773,66,282,5
23.138370513916016,294,11,9
23.132238388061523,50,527,1
23.128135681152344,488,460,10
23.12624168395996,292,282,1
23.099557876586914,268,130,18
23.09222412109375,286,157,3
23.091482162475586,522,552,5
23.09037208557129,521,489,5
23.070228576660156,60,47,0
23.04295539855957,25,29,3
23.029443740844727,521,200,5
23.019596099853516,522,379,5
22.98126792907715,154,259,4
22.96700668334961,461,222,1
22.958465576171875,362,407,4
22.956043243408203,326,251,1
22.934572219848633,256,41,0
22.932952880859375,32,259,4
22.92913246154785,256,409,0
22.915390014648438,186,379,5
22.911678314208984,60,14,0
22.91165542602539,334,278,1
22.907623291015625,56,562,10
22.88990020751953,84,372,24
22.887622833251953,497,71,1
22.88572120666504,392,527,1
22.879379272460938,32,11,4
22.872175216674805,361,483,2
22.868919372558594,291,505,5
22.858596801757812,511,162,5
22.857458114624023,203,14,0
22.832826614379883,286,451,3
22.827709197998047,130,478,18
22.79424476623535,544,427,4
22.78783416748047,17,309,1
22.78531837463379,80,25,3
22.783369064331055,191,209,5
22.777090072631836,86,512,1
22.751047134399414,379,291,5
22.749862670898438,476,15,1
22.70380210876465,292,98,1
22.69600486755371,488,536,10
22.69078254699707,532,512,1
22.688276290893555,129,222,0
22.68456268310547,170,505,5
22.67635154724121,75,545,24
22.675203323364258,168,135,41
22.662456512451172,346,384,1
22.655092239379883,414,41,1
22.649375915527344,37,385,9
22.64293098449707,433,570,6
22.638872146606445,349,346,1
22.63343048095703,25,71,3
22.60856819152832,50,384,1
22.603439331054688,250,554,3
22.601924896240234,334,251,1
22.599287033081055,174,221,6
22.595664978027344,343,483,2
22.590866088867188,186,518,1
22.586658477783203,332,54,2
22.581918716430664,346,524,1
22.57142448425293,569,465,3
22.562292098999023,25,406,3
22.54778480529785,250,165,3
22.5426025390625,443,537,15
22.542341232299805,425,548,1
22.53117561340332,340,283,7
22.51922035217285,250,412,3
22.518476486206055,301,56,4
22.515300750732422,137,334,1
22.51204490661621,480,40,7
22.505258560180664,430,427,4
22.50261116027832,40,304,17
22.501605987548828,532,527,1
22.492433547973633,292,514,1
22.49178695678711,521,78,5
22.490196228027344,523,527,1
22.48971176147461,286,52,3
22.4852237701416,139,324,0
22.47842788696289,91,385,0
22.462961196899414,407,41,4
22.45669174194336,293,251,1
22.453960418701172,512,291,1
22.453428268432617,322,13,3
22.39903450012207,405,473,4
22.395267486572266,544,355,4
22.393644332885742,379,282,5
22.387916564941406,392,512,1
22.375858306884766,474,29,4
22.37443733215332,429,200,5
22.365741729736328,50,86,1
22.362945556640625,309,552,5
22.351940155029297,292,233,1
22.340604782104492,195,11,1
22.322933197021484,321,437,0
22.322011947631836,477,355,13
22.317707061767578,214,25,3
22.311124801635742,414,32,4
22.302955627441406,406,13,3
22.301353454589844,199,238,0
22.29688835144043,86,282,1
22.29179573059082,236,108,13
22.28080940246582,66,511,5
22.279428482055664,250,260,3
22.27423095703125,75,422,24
22.27306365966797,66,311,5
22.270090103149414,25,282,3
22.265281677246094,550,304,17
22.25896644592285,505,282,5
22.25559425354004,522,54,2
22.24781608581543,25,503,3
22.245290756225586,128,13,3
22.240650177001953,286,526,3
22.234745025634766,493,137,1
22.229835510253906,286,503,3
22.227394104003906,518,84,14
22.223573684692383,26,41,1
22.210538864135742,271,28,4
22.209426879882812,271,427,4
22.206689834594727,37,127,9
22.20114517211914,522,512,1
22.199018478393555,518,346,1
22.198026657104492,294,38,9
22.197647094726562,32,293,4
22.188209533691406,200,309,1
22.17839813232422,526,13,3
22.16066551208496,429,300,5
22.152284622192383,91,316,0
22.135156631469727,168,13,3
22.122058868408203,73,41,11
22.119176864624023,24,248,6
22.11655616760254,26,137,1
22.1149845123291,128,384,1
22.107582092285156,108,211,13
22.102733612060547,187,346,1
22.096508026123047,274,259,1
22.07094955444336,130,457,18
22.066898345947266,571,47,0
22.063886642456055,331,511,2
22.055648803710938,332,399,2
22.050838470458984,535,506,0
22.050392150878906,256,385,0
22.048803329467773,407,304,17
22.048595428466797,130,539,18
22.044414520263672,476,56,4
22.041231155395508,209,13,3
22.03499984741211,323,354,6
22.033658981323242,569,454,3
22.025299072265625,86,173,1
22.020963668823242,491,11,1
22.020898818969727,373,99,0
22.0106258392334,429,61,5
22.007816314697266,178,155,7
21.99514389038086,292,461,1
21.99399185180664,461,519,1
21.99370765686035,461,512,1
21.985551834106445,111,227,6
21.984737396240234,259,403,9
21.984336853027344,462,219,4
21.982032775878906,349,123,1
21.979597091674805,451,13,3
21.975311279296875,321,483,2
21.97462272644043,280,535,0
21.969745635986328,518,537,1
21.963369369506836,52,49,6
21.959327697753906,294,293,9
21.94512176513672,439,91,0
21.93350601196289,476,26,4
21.927465438842773,187,315,1
21.920469284057617,17,209,5
